uid,article_count,articles,coordinate,e_description,e_title,f_count,is_node,latitude,location,longitude,mp_count,year_range,food,masterpiece
0,5,"《句·大雨联句》
《夏侯太初论》
《却鼠刀铭》
《正统论三首·总论一》","[3927, 4176]",1036年，苏轼生于眉州眉山（今四川省眉山市）。其父苏洵将他命名“轼”，意为车前的扶手，取其默默无闻却扶危救困，不可或缺之意。1039年，苏轼的弟弟苏辙出生，两兄弟从小到大一起读书游玩，后来也同一年中进士。苏轼之父苏洵常年因公在外，兄弟二人的教育皆由其母亲程夫人负责。1054年，苏轼娶四川青神县进士王方之女王弗为妻。,幸福童年,0,1,30.08137,眉山,103.8551,0,1036-1055年,,
1,1,《大慈极乐院题名》,"[3955, 4091]",1036年，苏轼生于眉州眉山（今四川省眉山市）。其父苏洵将他命名“轼”，意为车前的扶手，取其默默无闻却扶危救困，不可或缺之意。1039年，苏轼的弟弟苏辙出生，两兄弟从小到大一起读书游玩，后来也同一年中进士。苏轼之父苏洵常年因公在外，兄弟二人的教育皆由其母亲程夫人负责。1054年，苏轼娶四川青神县进士王方之女王弗为妻。,幸福童年,0,0,30.57628,成都,104.0712,0,1056年,,
2,1,《中岩尊者洞》,"[3927, 4218]",1036年，苏轼生于眉州眉山（今四川省眉山市）。其父苏洵将他命名“轼”，意为车前的扶手，取其默默无闻却扶危救困，不可或缺之意。1039年，苏轼的弟弟苏辙出生，两兄弟从小到大一起读书游玩，后来也同一年中进士。苏轼之父苏洵常年因公在外，兄弟二人的教育皆由其母亲程夫人负责。1054年，苏轼娶四川青神县进士王方之女王弗为妻。,幸福童年,0,0,29.83726,青神,103.8531,0,1056年,,
3,1,《梦中赋裙带》,"[4618, 3439]",1036年，苏轼生于眉州眉山（今四川省眉山市）。其父苏洵将他命名“轼”，意为车前的扶手，取其默默无闻却扶危救困，不可或缺之意。1039年，苏轼的弟弟苏辙出生，两兄弟从小到大一起读书游玩，后来也同一年中进士。苏轼之父苏洵常年因公在外，兄弟二人的教育皆由其母亲程夫人负责。1054年，苏轼娶四川青神县进士王方之女王弗为妻。,幸福童年,0,0,34.37295,临潼,109.2206,0,1056年,,
4,21,"《三传义·问供养三德为善》
《三传义·问定何以无正月》
《三传义·问君子能补过》
《杂策·禹之所以通水之法》
《物不可以苟合论》
《三传义·问雩月何以为正》
《谢欧阳内翰书》
《三传义·问鲁犹三望》
《丰年有高廪诗》
《三传义·问侵伐土地分民何以明正》
《儒者可与守成论》
《省试刑赏忠厚之至论》
《书子由诗》
《御试重巽以申命论》
《上韩太尉书》
《谢秋赋试官启》
《易解》
《三传义·问初税亩》
《三传义·问小雅周之衰》
《三传义·问鲁作丘甲》
《三传义·问大夫无遂事》","[5274, 3366]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,1,34.80294,开封,114.3139,0,1057年,,
5,6,"《上知府王龙图书》
《送宋君用游辇下》
《咏怪石》
《与蔡君谟一首》
《与友人一首》
《与宝月大师三首》","[3927, 4176]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,30.08137,眉山,103.8551,0,1059年,,
6,5,"《初发嘉州》
《郭纶》
《白水寺》
《治易洞》
《与宝月大师三首》","[3916, 4266]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,29.55814,乐山,103.7719,0,1059年,,
7,1,《犍为王氏书楼》,"[3940, 4325]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,29.21429,犍为,103.9558,0,1059年,,
8,3,"《戎州》
《舟中听大人弹琴》
《过宜宾见夷中乱山》","[4029, 4403]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,28.75761,宜宾,104.6481,0,1059年,,
9,1,《洎南井口期任遵圣长官到晚不及见复来》,"[4132, 4382]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,28.87758,泸州,105.4491,0,1059年,,
